subject_id,subject_name,subject_city,subject_state,subject_year,subject_units,subject_program,rank,comp_id,comp_name,comp_city,comp_state,comp_year,comp_units,comp_program,score
30,Anaheim,Anaheim,CA,1980,80.0,Section 8/HUD,2,7,Cumberland,Crystal Springs,MS,1985,68.0,Section 8/HUD,67.0
30,Anaheim,Anaheim,CA,1980,80.0,Section 8/HUD,3,42,Thomasville Church Homes,Thomasville,NC,1975,100.0,Section 8/HUD,66.0
31,Fairfax,Los Angeles,CA,1965,46.0,Section 8/HUD,1,3,Opa Locka 135th St,Opa Locka,FL,1968,65.0,Section 8/HUD,72.15
31,Fairfax,Los Angeles,CA,1965,46.0,Section 8/HUD,2,21,Marrero 3,Harvey,LA,1968,173.0,Section 8/HUD,63.32
31,Fairfax,Los Angeles,CA,1965,46.0,Section 8/HUD,3,4,Macedonia Garden,Panama City,FL,1969,100.0,Section 8/HUD,63.2
32,Urban 1 & 2,Los Angeles,CA,1970,60.0,LIHTC,1,33,Midtown Manor,Los Angeles,CA,1970,32.0,LIHTC,90.67
32,Urban 1 & 2,Los Angeles,CA,1970,60.0,LIHTC,2,2,Jefferson Arms,Monticello,FL,1971,75.0,Section 8/HUD,67.0
32,Urban 1 & 2,Los Angeles,CA,1970,60.0,LIHTC,3,3,Opa Locka 135th St,Opa Locka,FL,1968,65.0,Section 8/HUD,65.46
33,Midtown Manor,Los Angeles,CA,1970,32.0,LIHTC,1,32,Urban 1 & 2,Los Angeles,CA,1970,60.0,LIHTC,90.67
33,Midtown Manor,Los Angeles,CA,1970,32.0,LIHTC,2,16,New Wilmington Arms,Compton,CA,1973,,Section 8/HUD,63.0
33,Midtown Manor,Los Angeles,CA,1970,32.0,LIHTC,3,2,Jefferson Arms,Monticello,FL,1971,75.0,Section 8/HUD,59.53
34,Pacific Pointe,Stockton,CA,1998,80.0,LIHTC,1,35,Granite Ridge,Stockton,CA,1998,80.0,LIHTC,100.0
34,Pacific Pointe,Stockton,CA,1998,80.0,LIHTC,2,36,Columbia Village,Sonora,CA,2000,80.0,LIHTC,92.0
34,Pacific Pointe,Stockton,CA,1998,80.0,LIHTC,3,38,Oak Hills,Jamestown,CA,2000,80.0,LIHTC,92.0
35,Granite Ridge,Stockton,CA,1998,80.0,LIHTC,1,34,Pacific Pointe,Stockton,CA,1998,80.0,LIHTC,100.0
35,Granite Ridge,Stockton,CA,1998,80.0,LIHTC,2,36,Columbia Village,Sonora,CA,2000,80.0,LIHTC,92.0
35,Granite Ridge,Stockton,CA,1998,80.0,LIHTC,3,38,Oak Hills,Jamestown,CA,2000,80.0,LIHTC,92.0
36,Columbia Village,Sonora,CA,2000,80.0,LIHTC,1,38,Oak Hills,Jamestown,CA,2000,80.0,LIHTC,100.0
36,Columbia Village,Sonora,CA,2000,80.0,LIHTC,2,37,Forest View Senior,Sonora,CA,2000,60.0,LIHTC,95.0
36,Columbia Village,Sonora,CA,2000,80.0,LIHTC,3,34,Pacific Pointe,Stockton,CA,1998,80.0,LIHTC,92.0
37,Forest View Senior,Sonora,CA,2000,60.0,LIHTC,1,36,Columbia Village,Sonora,CA,2000,80.0,LIHTC,95.0
37,Forest View Senior,Sonora,CA,2000,60.0,LIHTC,2,38,Oak Hills,Jamestown,CA,2000,80.0,LIHTC,95.0
37,Forest View Senior,Sonora,CA,2000,60.0,LIHTC,3,25,Granite Bayou,Baton Rouge,LA,2000,60.0,LIHTC,90.0
38,Oak Hills,Jamestown,CA,2000,80.0,LIHTC,1,36,Columbia Village,Sonora,CA,2000,80.0,LIHTC,100.0
38,Oak Hills,Jamestown,CA,2000,80.0,LIHTC,2,37,Forest View Senior,Sonora,CA,2000,60.0,LIHTC,95.0
38,Oak Hills,Jamestown,CA,2000,80.0,LIHTC,3,34,Pacific Pointe,Stockton,CA,1998,80.0,LIHTC,92.0
39,River Garden,Sonora,CA,1995,123.0,Section 8/HUD,1,10,River Pointe,Columbus,OH,1996,160.0,Section 8/HUD,81.38
39,River Garden,Sonora,CA,1995,123.0,Section 8/HUD,2,40,Riverchase,Augusta,GA,1996,,Section 8/HUD,81.0
39,River Garden,Sonora,CA,1995,123.0,Section 8/HUD,3,22,Arbor Crest,Quincy,FL,1995,120.0,LIHTC,74.51
40,Riverchase,Augusta,GA,1996,,Section 8/HUD,1,39,River Garden,Sonora,CA,1995,123.0,Section 8/HUD,81.0
40,Riverchase,Augusta,GA,1996,,Section 8/HUD,2,10,River Pointe,Columbus,OH,1996,160.0,Section 8/HUD,80.0
40,Riverchase,Augusta,GA,1996,,Section 8/HUD,3,5,Coral Village,Cape Coral,FL,1999,72.0,Section 8/HUD,68.0
41,Silver Springs Terrace,Hickory,NC,1971,100.0,Layered HUD/LIHTC,1,1,Boca Ciega,St. Petersburg,FL,1974,109.0,Layered HUD/LIHTC,76.35
41,Silver Springs Terrace,Hickory,NC,1971,100.0,Layered HUD/LIHTC,2,32,Urban 1 & 2,Los Angeles,CA,1970,60.0,LIHTC,63.0
41,Silver Springs Terrace,Hickory,NC,1971,100.0,Layered HUD/LIHTC,3,33,Midtown Manor,Los Angeles,CA,1970,32.0,LIHTC,57.4
42,Thomasville Church Homes,Thomasville,NC,1975,100.0,Section 8/HUD,1,20,Colonial Estates,Thibodaux,LA,1975,107.0,Section 8/HUD,88.69
42,Thomasville Church Homes,Thomasville,NC,1975,100.0,Section 8/HUD,2,9,Walnut Hill,Natchez,MS,1975,168.0,Section 8/HUD,81.9
42,Thomasville Church Homes,Thomasville,NC,1975,100.0,Section 8/HUD,3,8,Village Green,Natchez,MS,1977,80.0,Section 8/HUD,78.0
